sound,date,starttime,endtime,pre,during,post,time_left_feeder,number,species,comments
silent,4/22/2023,22:02:25,22:02:57,na,na,na,na,na,na,Night
dog,4/22/2023,22:06:43,22:07:16,na,na,na,na,na,na,Night
human,4/23/2023,6:12:11,6:12:43,feeding,flies away,absent,17,2,house finch,
silent,4/23/2023,6:18:15,6:18:47,flies away,absent,absent,2,1,nuthatch,
hawk,4/23/2023,6:21:48,6:22:20,feeding,feeding,feeding,na,1,nuthatch,
human,4/23/2023,6:31:13,6:31:46,feeding,feeding,feeding,na,2,house finch,
hawk,4/23/2023,6:34:46,6:35:19,feeding,feeding,feeding,na,1,house finch,
silent,4/23/2023,6:41:58,6:42:31,na,na,na,na,0,na,Wind triggered
hawk,4/23/2023,6:46:08,6:46:41,feeding,flies away,absent,3,1,red-bellied woodpecker,
bird,4/23/2023,6:49:42,6:50:15,feeding,flies away,absent,5,1,red-bellied woodpecker,Bird left and came back
hawk,4/23/2023,6:53:40,6:54:13,feeding,flies away,absent,6,1,red-bellied woodpecker,
human,4/23/2023,6:57:36,6:58:09,na,na,na,na,0,na,Wind triggered
dog,4/23/2023,7:01:44,7:02:17,feeding,flies away,absent,4,1,red-bellied woodpecker,
hawk,4/23/2023,7:06:01,7:06:34,flies away,feeding,absent,2,3,nuthatch,2 birds came to feeder at 16 sec
hawk,4/23/2023,7:09:57,7:10:30,feeding,flies away,feeding,18,2,red-bellied woodpecker,white breasted nuthatch on camera starting at 19 sec
dog,4/23/2023,7:13:47,7:14:20,feeding,flies away,feeding,8,2,nuthatch,Another white-breasted nuthatch came on screen at 34 sec
hawk,4/23/2023,7:17:54,7:18:27,feeding,flies away,absent,3,2,red-bellied woodpecker,woodpecker left but there was an unidentifiable finch at the feeder the whole video
human,4/23/2023,7:21:27,7:22:00,feeding,flies away,absent,8,1,unk,
silent,4/23/2023,7:31:54,7:32:27,feeding,flies away,absent,10,1,nuthatch,
silent,4/23/2023,7:35:43,7:36:16,NA,flies away,absent,7,1,nuthatch,Bird was off camera until 6 seconds
bird,4/23/2023,7:40:02,7:40:35,feeding,flies away,absent,10,1,red-bellied woodpecker,
human,4/23/2023,7:43:40,7:44:13,feeding,flies away,absent,10,2,red-bellied woodpecker,Chickadee on camera from 24 to 31 sec
dog,4/23/2023,7:47:13,7:47:47,feeding,feeding,feeding,na,2,house finch,
human,4/23/2023,7:50:47,7:51:19,feeding,feeding,feeding,na,2,house finch,
dog,4/23/2023,7:54:20,7:54:53,na,flies away,absent,18,2,chickadee,focal bird left when red bellied woodpecker appeared
human,4/23/2023,7:57:53,7:58:25,feeding,feeding,flies away,30,2,chickadee,chickadee flew off just prior to house sparrow landing
hawk,4/23/2023,8:01:25,8:01:58,feeding,flies away,absent,3,3,cardinal,2 cardinals flew away at 3 sec and house sparrow stayed
human,4/23/2023,8:04:58,8:05:31,feeding,flies away,absent,24,2,chickadee,house sparrow 
bird,4/23/2023,8:08:31,8:09:04,feeding,flies away,absent,9,2,house finch,chased away by another house finch
human,4/23/2023,8:12:04,8:12:37,feeding,flies away,absent,4,1,house sparrow,Good for presentation example video
hawk,4/23/2023,8:15:37,8:16:10,na,na,na,na,0,na,
hawk,4/23/2023,8:19:10,8:19:43,feeding,flies away,absent,11,2,nuthatch,red-headed woodpecker
silent,4/23/2023,8:23:31,8:24:03,feeding,flies away,absent,6,2,red-bellied woodpecker,chickadee
bird,4/23/2023,8:27:04,8:27:36,feeding,flies away,absent,20,2,red-bellied woodpecker,chickadee
hawk,4/23/2023,8:30:41,8:31:14,feeding,flies away,feeding,6,1,chickadee,came back at 12 seconds
hawk,4/23/2023,8:34:14,8:34:47,feeding,feeding,feeding,na,2,house sparrow,
silent,4/23/2023,8:37:47,8:38:20,feeding,flies away,absent,18,3,house sparrow,chickadee
hawk,4/23/2023,8:41:22,8:41:55,feeding,feeding,feeding,na,1,house sparrow,
silent,4/23/2023,8:46:33,8:47:06,feeding,feeding,feeding,na,1,house sparrow,
hawk,4/23/2023,8:51:17,8:51:50,feeding,flies away,absent,5,1,chickadee,
hawk,4/23/2023,8:54:50,8:55:23,na,feeding,feeding,na,2,chickadee,Chickadee arrived on feeder at 5sec unknow other bird
silent,4/23/2023,8:59:03,8:59:36,feeding,flies away,absent,15,1,chickadee,
bird,4/23/2023,9:04:36,9:05:09,feeding,feeding,feeding,na,1,chickadee,
dog,4/23/2023,9:08:25,9:08:58,flies away,absent,absent,2,2,chickadee,house finch arrived at 7 sec
human,4/23/2023,9:12:35,9:13:08,feeding,feeding,feeding,na,1,chickadee,
dog,4/23/2023,9:16:08,9:16:40,flies away,absent,absent,1,1,chickadee,
hawk,4/23/2023,9:19:41,9:20:13,feeding,feeding,feeding,na,2,house sparrow,
silent,4/23/2023,9:23:20,9:23:53,feeding,flies away,absent,7,2,chickadee,house finch arrived at 11sec
human,4/23/2023,9:26:53,9:27:25,na,na,na,na,0,na,
dog,4/23/2023,9:30:26,9:30:58,feeding,flies away,absent,23,2,cardinal,cardinal flew off when house sparrow landed
hawk,4/23/2023,9:38:30,9:39:03,feeding,feeding,feeding,na,1,house sparrow,
silent,4/23/2023,9:43:18,9:43:51,feeding,feeding,feeding,na,1,chickadee,may have been more than one chickadee
silent,4/23/2023,9:58:14,9:58:46,feeding,flies away,absent,7,1,tufted tit-mouse,
dog,4/23/2023,10:10:02,10:10:35,feeding,feeding,feeding,na,1,house sparrow,
silent,4/23/2023,10:15:40,10:16:12,feeding,flies away,absent,4,1,red-bellied woodpecker,
human,4/23/2023,10:20:18,10:20:51,feeding,feeding,feeding,na,1,red-bellied woodpecker,
human,4/23/2023,10:23:55,10:24:28,feeding,feeding,feeding,na,1,chickadee,
dog,4/23/2023,10:29:06,10:29:39,feeding,feeding,feeding,na,2,house sparrow,
dog,4/23/2023,10:32:52,10:33:25,feeding,flies away,absent,21,1,nuthatch,
hawk,4/23/2023,10:39:47,10:40:19,feeding,feeding,feeding,na,2,house finch,
silent,4/23/2023,10:43:56,10:44:28,feeding,feeding,feeding,na,1,house sparrow,
silent,4/23/2023,10:53:01,10:53:33,feeding,flies away,absent,7,1,nuthatch,
hawk,4/23/2023,10:57:01,10:57:34,feeding,feeding,absent,31,2,nuthatch,nuthatch was chased off by a red-bellied woodpecker
silent,4/23/2023,11:01:08,11:01:41,absent,flies away,absent,4,2,cardinal,"cardinal landed at 4 and flew away immediatly, house sparrow arrived at 11 and fed until end"
hawk,4/23/2023,11:04:41,11:05:13,feeding,flies away,absent,20,1,house sparrow,
hawk,4/23/2023,11:08:16,11:08:49,feeding,feeding,feeding,na,1,chickadee,
dog,4/23/2023,11:11:49,11:12:21,feeding,flies away,absent,13,1,house sparrow,
silent,4/23/2023,11:44:51,11:45:24,feeding,feeding,feeding,na,1,house sparrow,
dog,4/23/2023,11:57:02,11:57:35,feeding,feeding,feeding,na,1,nuthatch,
silent,4/23/2023,12:01:08,12:01:40,feeding,feeding,feeding,na,1,house sparrow,
human,4/23/2023,12:05:34,12:06:07,feeding,flies away,absent,10,2,nuthatch,second unknown bird landed on the feeder at 34 sec
dog,4/23/2023,12:19:36,12:20:09,feeding,feeding,feeding,na,1,nuthatch,
dog,4/23/2023,12:23:56,12:24:29,feeding,feeding,feeding,na,1,nuthatch,
bird,4/23/2023,12:28:46,12:29:18,absent,feeding,feeding,na,1,chickadee,arrived at feeder at 11sec and stayed until end
